P1,E1,E2,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,E3,E4,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24S,M1S,M2,M3,M4,E5S,E6S,E7,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119S,M120,M121S,Target
23,35,70.9,Feature3-A,Feature4-A,7,7,10,10,7,13,9,13,5,11,14,32.5,71,5,27,26,1,517,Feature23-A,FALSE,Feature25-A,Feature26-A,13,23.42,204.6,22.62,21.33,5.499531546,4.487893157,-1.011638389,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,345,205,9,0
28,34.923,70.605,Feature3-B,Feature4-B,5,7,10,9,7,12,8,12,40,24,21,33.091,71.198,5,26,26,0,517,Feature23-A,FALSE,Feature25-A,Feature26-A,13,23.42,204.6,22.62,21.33,5.323931759,4.841026587,-0.482905172,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,345,205,9,0
63,40.1,70.1,Feature3-C,Feature4-C,5,6,18,10,8,17,6,5,45,21,5,40.1,70.1,5,26,26,0,517,Feature23-A,FALSE,Feature25-A,Feature26-A,13,23.42,204.6,22.62,21.33,7.071382362,7.071382362,0,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,345,205,9,0
24,35,71,Feature3-C,Feature4-D,12,6,6,5,11,8,12,33,15,13,11,41.7,71.3,5,27,27,0,517,Feature23-A,FALSE,Feature25-A,Feature26-A,13,23.42,204.6,22.62,21.33,5.548342098,8.238459558,2.69011746,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,345,205,9,0
20,36,71.1,Feature3-D,Feature4-E,5,5,20,6,6,9,11,16,9,31,5,36.7,70.8,5,26,25,1,499,Feature23-A,FALSE,Feature25-A,Feature26-A,9,124.42,204.6,22.62,21.33,6.002670765,6.133414593,0.130743828,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,36,342,202,8,0
20,35.9,71.3,Feature3-A,Feature4-A,5,6,6,5,7,10,32,5,5,6,5,36.4,70.5,5,27,27,0,499,Feature23-A,FALSE,Feature25-A,Feature26-A,9,124.42,204.6,22.62,21.33,6.060452726,5.867928079,-0.192524647,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,36,342,202,8,0
20,40.6,70.1,Feature3-C,Feature4-F,5,6,5,5,5,5,5,20,5,6,6,35.6,70.9,6,27,25,2,508,Feature23-A,FALSE,Feature25-A,Feature26-A,14,124.42,204.6,22.62,21.33,7.251614076,5.743880814,-1.507733261,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,36,342,202,8,0
22,36.2,71.1,Feature3-C,Feature4-D,7,6,11,6,8,6,8,7,10,6,5,35.3,70.18,5,26,23,3,499,Feature23-A,FALSE,Feature25-A,Feature26-A,9,261.18,37.3,22.62,18.75,6.082569204,5.270325673,-0.812243531,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,11.3948,14.9911,23.99,87,1.9879,4.2755,54,1.713,1.9043,10.05,36,343,202,8,0
20,41.36,70.8,Feature3-B,Feature4-B,5,6,8,18,6,12,10,28,13,11,12,36.46,70.07,5,26,25,1,508,Feature23-A,FALSE,Feature25-A,Feature26-A,14,23.42,95.6,22.62,90.77,7.869908187,5.680748875,-2.189159313,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,345,203,9,0
23,43.3,69.1,Feature3-D,Feature4-E,6,8,7,6,5,8,8,10,11,8,6,41.4,71.1,5,25,24,1,509,Feature23-A,FALSE,Feature25-A,Feature26-A,13,23.42,204.6,22.62,90.77,7.692021216,8.033202724,0.341181508,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,345,203,9,0
